,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
3,4,14,4.4687,11312296.0,2021,1,2021-01-04 14:30:00+00:00,-7.774999999999999,161.6,193.27,605.13
4,4,15,4.38,8835096.0,2021,1,2021-01-04 15:30:00+00:00,22.891000000000002,139.72,137.02,713.3
5,4,16,4.44,3476220.0,2021,1,2021-01-04 16:30:00+00:00,67.353,199.07,154.38,626.51
6,4,17,4.3975,1835552.0,2021,1,2021-01-04 17:30:00+00:00,-0.39199999999999896,152.28,149.12,658.61
7,4,18,4.3825,2427476.0,2021,1,2021-01-04 18:30:00+00:00,57.693000000000005,140.93,104.78999999999999,704.28
8,4,19,4.3425,2953764.0,2021,1,2021-01-04 19:30:00+00:00,77.251,172.28,127.89,689.78
9,4,20,4.31,4410304.0,2021,1,2021-01-04 20:30:00+00:00,41.677,162.29,124.93,682.75
10,5,14,4.4075,5142360.0,2021,1,2021-01-05 14:30:00+00:00,71.176,158.71,107.13,724.16
11,5,15,4.38,2087916.0,2021,1,2021-01-05 15:30:00+00:00,82.18,210.95000000000002,128.04,661.01
12,5,16,4.3875,1384572.0,2021,1,2021-01-05 16:30:00+00:00,22.490000000000002,147.32,142.13,710.58
13,5,17,4.3923,1670556.0,2021,1,2021-01-05 17:30:00+00:00,92.2043,204.597,107.066,678.357
14,5,18,4.3745,2102952.0,2021,1,2021-01-05 18:30:00+00:00,90.2089,196.606,103.922,699.483
15,5,19,4.335,2093272.0,2021,1,2021-01-05 19:30:00+00:00,-0.23500000000000076,163.92,173.03,643.06
16,5,20,4.34,2638560.0,2021,1,2021-01-05 20:30:00+00:00,47.932,159.459,142.778,677.774
17,6,14,4.58,4532776.0,2021,1,2021-01-06 14:30:00+00:00,104.635,237.59,124.19,628.22
18,6,15,4.6125,3653128.0,2021,1,2021-01-06 15:30:00+00:00,106.3477,185.239,124.669,650.081
19,6,16,4.7225,2528448.0,2021,1,2021-01-06 16:30:00+00:00,144.466,194.34,93.45,712.23
20,6,17,4.6962,1843624.0,2021,1,2021-01-06 17:30:00+00:00,79.9204,196.667,144.10999999999999,649.163
21,6,18,4.6175,1864272.0,2021,1,2021-01-06 18:30:00+00:00,147.126,207.068,87.744,695.168
22,6,19,4.5625,4034644.0,2021,1,2021-01-06 19:30:00+00:00,18.168,196.62,181.82,611.51
23,6,20,4.5975,2198240.0,2021,1,2021-01-06 20:30:00+00:00,3.7859999999999996,176.45,189.44,624.13
24,7,14,4.755,5523132.0,2021,1,2021-01-07 14:30:00+00:00,72.103,171.77,84.03,724.2
25,7,15,4.6375,2673568.0,2021,1,2021-01-07 15:30:00+00:00,81.695,156.48,93.53,739.97
26,7,16,4.6922,2307864.0,2021,1,2021-01-07 16:30:00+00:00,115.769,204.33,94.64,681.03
27,7,17,4.6192,1634948.0,2021,1,2021-01-07 17:30:00+00:00,155.745,209.44,90.97,679.58
28,7,18,4.6,1772476.0,2021,1,2021-01-07 18:30:00+00:00,112.67099999999999,230.88,103.91,665.23
29,7,19,4.565,3747244.0,2021,1,2021-01-07 19:30:00+00:00,213.313,295.38,83.99,600.62
30,7,20,4.53,3661880.0,2021,1,2021-01-07 20:30:00+00:00,42.304,200.16,158.22,631.63
31,8,14,4.2825,6721892.0,2021,1,2021-01-08 14:30:00+00:00,34.801,184.17000000000002,164.73,621.05
32,8,15,4.3663,3766748.0,2021,1,2021-01-08 15:30:00+00:00,61.848,187.27,120.71000000000001,672.04
33,8,16,4.475,2474480.0,2021,1,2021-01-08 16:30:00+00:00,105.797,226.05,125.4,618.52
34,8,17,4.4175,2832728.0,2021,1,2021-01-08 17:30:00+00:00,133.392,192.1,80.82000000000001,727.09
35,8,18,4.4675,1551616.0,2021,1,2021-01-08 18:30:00+00:00,56.416000000000004,191.09,161.23,647.67
36,8,19,4.46,1583032.0,2021,1,2021-01-08 19:30:00+00:00,63.446999999999996,155.32,88.02,716.69
37,8,20,4.4225,3037072.0,2021,1,2021-01-08 20:30:00+00:00,146.736,244.47,102.7,632.82
38,11,14,4.8175,21115988.0,2021,1,2021-01-11 14:30:00+00:00,128.451,199.79,90.98,689.25
39,11,15,4.8125,5889356.0,2021,1,2021-01-11 15:30:00+00:00,106.929,229.68,120.46,639.87
40,11,16,4.86,5309564.0,2021,1,2021-01-11 16:30:00+00:00,124.631,230.03,138.27,621.68
41,11,17,4.94,3922352.0,2021,1,2021-01-11 17:30:00+00:00,49.133,139.36,124.12,726.53
42,11,18,4.96,6565560.0,2021,1,2021-01-11 18:30:00+00:00,115.491,205.10999999999999,101.24,653.63
43,11,19,4.92,3088808.0,2021,1,2021-01-11 19:30:00+00:00,111.372,174.13,87.24000000000001,698.63
44,11,20,4.9825,2960160.0,2021,1,2021-01-11 20:30:00+00:00,4.031999999999999,179.26,175.04,645.65
45,12,14,5.005,8755744.0,2021,1,2021-01-12 14:30:00+00:00,30.962999999999997,164.84,119.91,705.26
46,12,15,5.0325,3496248.0,2021,1,2021-01-12 15:30:00+00:00,117.349,252.66,145.57999999999998,571.76
47,12,16,4.999,2791776.0,2021,1,2021-01-12 16:30:00+00:00,17.2687,165.352,167.281,645.367
48,12,17,4.9713,2472272.0,2021,1,2021-01-12 17:30:00+00:00,120.595,201.85,102.88,655.29
49,12,18,4.9612,2108900.0,2021,1,2021-01-12 18:30:00+00:00,116.051,178.92,107.96,703.1
50,12,19,4.945,1830680.0,2021,1,2021-01-12 19:30:00+00:00,30.025000000000002,176.74,166.89,646.4
51,12,20,4.985,3101528.0,2021,1,2021-01-12 20:30:00+00:00,31.092,178.89000000000001,137.09,674.01
52,13,14,7.25,72942392.0,2021,1,2021-01-13 14:30:00+00:00,45.915,196.53,143.17,640.27
53,13,15,8.25,101469292.0,2021,1,2021-01-13 15:30:00+00:00,28.792,139.92,145.31,704.76
54,13,16,7.765,175606664.0,2021,1,2021-01-13 16:30:00+00:00,134.39000000000001,229.08,108.71,642.21
55,13,17,7.9862,84566984.0,2021,1,2021-01-13 17:30:00+00:00,41.44,150.46,135.29,704.24
56,13,18,8.2,41955600.0,2021,1,2021-01-13 18:30:00+00:00,144.663,181.92,98.03,720.11
57,13,19,7.8225,38087040.0,2021,1,2021-01-13 19:30:00+00:00,97.888,202.255,130.581,646.155
58,13,20,7.8625,22606076.0,2021,1,2021-01-13 20:30:00+00:00,31.600000000000005,156.99,138.14,674.86
59,14,14,8.5775,78566744.0,2021,1,2021-01-14 14:30:00+00:00,4.561,158.55,135.25,696.23
60,14,15,8.8088,36134004.0,2021,1,2021-01-14 15:30:00+00:00,136.012,209.65,62.68,717.68
61,14,16,10.275,70686996.0,2021,1,2021-01-14 16:30:00+00:00,16.113000000000003,144.738,159.234,675.049
62,14,17,10.065,57214768.0,2021,1,2021-01-14 17:30:00+00:00,107.55199999999999,227.19,134.44,638.35
63,14,18,9.6225,31808448.0,2021,1,2021-01-14 18:30:00+00:00,189.74,266.36,101.81,611.85
64,14,19,9.5025,30092040.0,2021,1,2021-01-14 19:30:00+00:00,116.729,239.08,102.87,658.03
65,14,20,9.9796,21170828.0,2021,1,2021-01-14 20:30:00+00:00,75.053,194.36,106.12,649.55
66,15,14,9.029,50995392.0,2021,1,2021-01-15 14:30:00+00:00,71.482,218.77,116.34,634.92
67,15,15,9.1337,20762044.0,2021,1,2021-01-15 15:30:00+00:00,63.132999999999996,185.26,106.08,698.65
68,15,16,8.785,25496488.0,2021,1,2021-01-15 16:30:00+00:00,61.201,176.03,123.64,660.32
69,15,17,8.9005,12795736.0,2021,1,2021-01-15 17:30:00+00:00,34.274,146.94,134.04,679.04
70,15,18,9.1735,9866944.0,2021,1,2021-01-15 18:30:00+00:00,79.451,189.46,102.26,678.29
71,15,19,9.18,28628204.0,2021,1,2021-01-15 19:30:00+00:00,136.021,188.4,115.14,696.45
72,15,20,8.8725,11497200.0,2021,1,2021-01-15 20:30:00+00:00,57.187000000000005,193.62,137.24,629.12
73,19,14,9.415,118897248.0,2021,1,2021-01-19 14:30:00+00:00,14.741800000000003,165.179,178.857,655.953
74,19,15,9.6225,40818084.0,2021,1,2021-01-19 15:30:00+00:00,41.187999999999995,213.93,139.02,627.05
75,19,16,10.2487,34040568.0,2021,1,2021-01-19 16:30:00+00:00,83.012,193.36,138.72,647.91
76,19,17,10.2425,27707440.0,2021,1,2021-01-19 17:30:00+00:00,86.961,195.63,83.34,721.04
77,19,18,9.9725,13617728.0,2021,1,2021-01-19 18:30:00+00:00,62.327,190.56,107.7,681.73
78,19,19,9.965,12077672.0,2021,1,2021-01-19 19:30:00+00:00,116.301,213.71,113.97,652.29
79,19,20,9.8775,13564352.0,2021,1,2021-01-19 20:30:00+00:00,37.961000000000006,191.11,146.32,642.58
80,20,14,9.175,25287308.0,2021,1,2021-01-20 14:30:00+00:00,60.553000000000004,191.79,156.24,641.97
81,20,15,9.6948,28931008.0,2021,1,2021-01-20 15:30:00+00:00,126.19999999999999,244.73,134.3,600.99
82,20,16,9.6567,30293112.0,2021,1,2021-01-20 16:30:00+00:00,78.45400000000001,204.21,114.12,661.68
83,20,17,9.6342,9418740.0,2021,1,2021-01-20 17:30:00+00:00,93.767,196.92,121.66,641.4
84,20,18,9.7825,9707956.0,2021,1,2021-01-20 18:30:00+00:00,110.742,222.52,124.92,642.54
85,20,19,9.76,9199584.0,2021,1,2021-01-20 19:30:00+00:00,72.995,176.35999999999999,118.32000000000001,645.32
86,20,20,9.78,5095320.0,2021,1,2021-01-20 20:30:00+00:00,79.087,188.34,113.84,647.78
87,21,14,9.7,16312256.0,2021,1,2021-01-21 14:30:00+00:00,118.276,198.59,116.88,684.53
88,21,15,10.075,22103376.0,2021,1,2021-01-21 15:30:00+00:00,142.86,233.64,96.56,659.79
89,21,16,9.75,71973344.0,2021,1,2021-01-21 16:30:00+00:00,90.512,212.57,131.33,656.1
