Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume,,
Summary,25.4625,-23.8975,79.14,80.5,9.625,2188019,2099747008,,
01FEB2021_00:00:00.000000,,,,,,,,,
20:00 - 20:01,73.265,23.905,79.14,80,72.5,653,2068192,1,20
20:01 - 20:02,74.385,1.12,73.535,75.665,70.5,801,618356,1,20
20:02 - 20:03,74.85,0.465,74.3975,75.9011,73.5375,442,300876,1,20
20:03 - 20:04,72.0863,-2.7637,74.9375,75,71.6725,326,266632,1,20
20:04 - 20:05,73.3917,1.3054,71.8475,73.47,71.25,377,241092,1,20
20:05 - 20:06,75.9425,2.5508,72.7625,75.9425,72.5098,379,285484,1,20
20:06 - 20:07,76.75,0.8075,75.95,77.5,75,391,260684,1,20
20:07 - 20:08,77.8557,1.1057,76.6018,78.75,76.365,337,232284,1,20
20:08 - 20:09,78.225,0.3693,78.2982,80.5,77.868,590,490004,1,20
20:09 - 20:10,78.9575,0.7325,78.25,79.69,77.7775,218,167548,1,20
20:10 - 20:11,78.8325,-0.125,79.08,79.6125,78,247,168272,1,20
20:11 - 20:12,78.0829,-0.7496,78.755,79.5,76.6675,252,172976,1,20
20:12 - 20:13,77.2756,-0.8073,78.035,78.4675,77,165,110348,1,20
20:13 - 20:14,75.3627,-1.9129,77.0275,77.3275,75.25,221,156676,1,20
20:14 - 20:15,74.455,-0.9077,75.6275,76.1744,73.8125,529,384388,1,20
20:15 - 20:16,75.495,1.04,74.5452,76,73.8175,335,223048,1,20
20:16 - 20:17,75.005,-0.49,75.5975,77,74.5,301,214120,1,20
20:17 - 20:18,74.3038,-0.7012,75.1969,76.5,74.1,191,128040,1,20
20:18 - 20:19,74.545,0.2412,74.2325,75,73.25,398,308380,1,20
20:19 - 20:20,73.5875,-0.9575,74.5325,74.9125,73.155,286,197712,1,20
20:20 - 20:21,73.1059,-0.4816,73.75,73.75,72.575,249,145252,1,20
20:21 - 20:22,72.925,-0.1809,73.0434,73.5425,72,454,369292,1,20
20:22 - 20:23,70.75,-2.175,72.75,73.07,70.75,449,369180,1,20
20:23 - 20:24,68,-2.75,70.75,71.535,67.7275,770,737984,1,20
20:24 - 20:25,65.25,-2.75,68.7158,68.7292,65,941,687620,1,20
20:25 - 20:26,68.9525,3.7025,66.3053,69.2475,65.76,807,568424,1,20
20:26 - 20:27,68,-0.9525,69.1275,70.7,67.75,571,489592,1,20
20:27 - 20:28,65.105,-2.895,68.1175,68.1175,65,910,687836,1,20
20:28 - 20:29,65.2252,0.1202,65.1125,65.995,63,840,820768,1,20
20:29 - 20:30,67.5,2.2748,65.36,67.5,64.5,610,434132,1,20
20:30 - 20:31,68.1512,0.6512,67.415,68.495,66.25,456,322232,1,20
20:31 - 20:32,70.22,2.0688,67.875,70.5,67.6675,534,370568,1,20
20:32 - 20:33,69.1275,-1.0925,70.2225,71,68.75,419,281348,1,20
20:33 - 20:34,66.435,-2.6925,69.1525,69.25,66.25,355,237188,1,20
20:34 - 20:35,66.5025,0.0675,66.3525,67.9975,66.25,302,225064,1,20
20:35 - 20:36,68.75,2.2475,66.7372,68.75,66.5,273,195860,1,20
20:36 - 20:37,68.75,0,68.5,70.5,68.25,432,311224,1,20
20:37 - 20:38,68.9605,0.2105,68.7992,70,67.86,213,142652,1,20
20:38 - 20:39,68.7,-0.2605,69.0075,69.75,68.2875,150,85516,1,20
20:39 - 20:40,67.25,-1.45,68.7075,68.75,66.7525,325,217484,1,20
