Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume,,
Summary,49.36,44.545,4.8125,120.75,4.27,3516021,3825791712,,
31DEC2020_00:00:00.000000,,,,,,,,,
20:00 - 20:01,4.8225,0.0075,4.8125,4.825,4.8125,39,240464,31,20
20:01 - 20:02,4.8502,0.0277,4.8225,4.8775,4.8225,101,82440,31,20
20:02 - 20:03,4.8495,-0.0007,4.8611,4.875,4.8125,115,232380,31,20
20:03 - 20:04,4.8625,0.013,4.84,4.875,4.84,29,38412,31,20
20:04 - 20:05,4.875,0.0125,4.8675,4.8775,4.8528,33,103984,31,20
20:05 - 20:06,4.8775,0.0025,4.885,4.9075,4.8675,162,631332,31,20
20:06 - 20:07,4.8221,-0.0554,4.875,4.8787,4.815,144,150064,31,20
20:07 - 20:08,4.75,-0.0721,4.8143,4.815,4.7425,170,165868,31,20
20:08 - 20:09,4.7646,0.0146,4.7475,4.765,4.74,168,139284,31,20
20:09 - 20:10,4.7875,0.0229,4.755,4.7919,4.755,51,48584,31,20
20:10 - 20:11,4.78,-0.0075,4.7834,4.7907,4.7725,29,21668,31,20
20:11 - 20:12,4.793,0.013,4.775,4.793,4.7675,38,33076,31,20
20:12 - 20:13,4.766,-0.027,4.7863,4.7894,4.76,25,41824,31,20
20:13 - 20:14,4.8175,0.0515,4.77,4.82,4.76,53,463720,31,20
20:14 - 20:15,4.8263,0.0088,4.8216,4.8332,4.8125,34,29244,31,20
20:15 - 20:16,4.8425,0.0162,4.8263,4.8601,4.8225,120,79912,31,20
20:16 - 20:17,4.8562,0.0137,4.845,4.86,4.8425,39,25180,31,20
20:17 - 20:18,4.8375,-0.0187,4.8576,4.86,4.835,160,130364,31,20
20:18 - 20:19,4.825,-0.0125,4.8375,4.8397,4.815,240,170104,31,20
20:19 - 20:20,4.825,0,4.825,4.825,4.8175,43,37820,31,20
20:20 - 20:21,4.8225,-0.0025,4.8225,4.865,4.8225,120,95616,31,20
20:21 - 20:22,4.8113,-0.0112,4.8227,4.825,4.7888,82,59552,31,20
20:22 - 20:23,4.8425,0.0312,4.8175,4.8425,4.8125,64,78196,31,20
20:23 - 20:24,4.855,0.0125,4.845,4.86,4.8425,51,169688,31,20
20:24 - 20:25,4.8446,-0.0104,4.8468,4.8468,4.84,28,22048,31,20
